peak_index,peak_date,trough_index,trough_date,recovery_index,recovery_date,depth_pct,duration_days,recovery_days,mean_pos_during_drawdown,mean_pos_outside_drawdown,mean_kelly_during,mean_kelly_outside,buy_hold_depth_pct,buy_hold_duration_days,buy_hold_recovery_days
3,2025-10-01 00:00:00,5,2025-10-03 00:00:00,6,2025-10-06 00:00:00,0.624991588612314,2,1,0.4656444344124682,0.337205371657876,0.05000000000000001,0.08479532163742691,-1.2686098757220399,2,10
10,2025-10-10 00:00:00,11,2025-10-13 00:00:00,12,2025-10-14 00:00:00,0.08545656101258405,1,1,0.7840548403769718,0.32844016908590346,0.05,0.08419540229885059,0.1504226453229638,1,1
15,2025-10-17 00:00:00,17,2025-10-21 00:00:00,20,2025-10-24 00:00:00,0.7349713684100768,2,3,0.19005832443923554,0.3517099037617304,0.1277777777777778,0.08070175438596493,2.9563368849957263,2,3
20,2025-10-24 00:00:00,21,2025-10-27 00:00:00,22,2025-10-28 00:00:00,0.1951437194216118,1,1,0.22594013013514358,0.3476855039218285,0.10833333333333334,0.08218390804597703,0.7100734724505293,1,1
28,2025-11-05 00:00:00,29,2025-11-06 00:00:00,30,2025-11-07 00:00:00,0.5368779652430566,1,1,0.22437325451075726,0.34773953411577285,0.10833333333333334,0.08218390804597703,1.196394745028153,1,1
34,2025-11-13 00:00:00,35,2025-11-14 00:00:00,36,2025-11-17 00:00:00,0.29693759427701827,1,1,0.3655678529626603,0.34287075485881074,0.10833333333333334,0.08218390804597703,-1.2846894126040902,1,2
36,2025-11-17 00:00:00,37,2025-11-18 00:00:00,38,2025-11-19 00:00:00,0.2005756250905288,1,1,0.27904834096135384,0.34585418630713166,0.10833333333333334,0.08218390804597703,-3.4524454487327363,1,5
49,2025-12-05 00:00:00,52,2025-12-10 00:00:00,53,2025-12-11 00:00:00,0.4927245276960465,3,1,0.24345403559604395,0.3507825597384315,0.10833333333333334,0.08125000000000002,-0.2755901314268308,3,
53,2025-12-11 00:00:00,54,2025-12-12 00:00:00,55,2025-12-15 00:00:00,0.20710688986611164,1,1,0.4111000086374942,0.34130068052519574,0.05,0.08419540229885059,-0.6427898161450499,1,
56,2025-12-16 00:00:00,58,2025-12-18 00:00:00,,,1.5103955669493634,2,,0.38082813639168905,0.3416693873431802,0.05000000000000001,0.08479532163742691,-3.9578471118158363,2,1
