date_index,date,strategy_equity_usd,buy_hold_equity_usd
0,2025-09-26T00:00:00.000000000,9999.769033632443,9995.29278575825
1,2025-09-29T00:00:00.000000000,9928.649452939306,9873.273935811581
2,2025-09-30T00:00:00.000000000,10045.195375528869,9641.482124592385
3,2025-10-01T00:00:00.000000000,10094.543580565614,9771.11498485967
4,2025-10-02T00:00:00.000000000,10094.543580565614,9546.94743345882
5,2025-10-03T00:00:00.000000000,10094.607771261652,9615.225063606227
6,2025-10-06T00:00:00.000000000,10058.150545573797,9580.499154672809
7,2025-10-07T00:00:00.000000000,10058.150545573797,9644.23962972172
8,2025-10-08T00:00:00.000000000,10174.296062865706,9852.501565307226
9,2025-10-09T00:00:00.000000000,10373.803774917127,9466.10627404934
10,2025-10-10T00:00:00.000000000,10307.248525548031,9604.669839251193
11,2025-10-13T00:00:00.000000000,10356.128850137631,9509.590071368686
12,2025-10-14T00:00:00.000000000,10375.150443781431,9628.278309402893
13,2025-10-15T00:00:00.000000000,10338.1976303645,9554.464104222532
14,2025-10-16T00:00:00.000000000,10318.577511741403,9619.319634713846
15,2025-10-17T00:00:00.000000000,10347.067723968878,9821.79127935137
16,2025-10-20T00:00:00.000000000,10339.300370868808,9836.537354853544
17,2025-10-21T00:00:00.000000000,10338.31383021943,9838.4144923003
18,2025-10-22T00:00:00.000000000,10334.735219036584,9846.326194798148
19,2025-10-23T00:00:00.000000000,10344.001547250478,9904.640861349659
20,2025-10-24T00:00:00.000000000,10311.282532399082,10070.389175499562
21,2025-10-27T00:00:00.000000000,10311.77482932914,10078.701669349224
22,2025-10-28T00:00:00.000000000,10310.19706633576,10081.785872171418
23,2025-10-29T00:00:00.000000000,10930.367024516183,8868.924336644894
24,2025-10-30T00:00:00.000000000,11081.011744355525,8624.457409052526
25,2025-10-31T00:00:00.000000000,11145.186762452375,8481.748751068068
26,2025-11-03T00:00:00.000000000,11182.001701548626,8342.419490225186
27,2025-11-04T00:00:00.000000000,11182.001701548626,8456.403603375407
28,2025-11-05T00:00:00.000000000,11180.76541291522,8227.13669436139
29,2025-11-06T00:00:00.000000000,11176.77362610029,8263.874467599604
30,2025-11-07T00:00:00.000000000,11302.233793785621,8396.392530902704
31,2025-11-10T00:00:00.000000000,11310.760081993336,8333.962085737296
32,2025-11-11T00:00:00.000000000,11293.564332261436,8090.281431307844
33,2025-11-12T00:00:00.000000000,11293.771714097084,8101.963053021714
34,2025-11-13T00:00:00.000000000,11293.297400493637,8096.249096196011
35,2025-11-14T00:00:00.000000000,11305.472490963992,7996.670657723316
36,2025-11-17T00:00:00.000000000,11315.407425268922,7939.080146554117
37,2025-11-18T00:00:00.000000000,11352.222416945322,7840.576047870956
38,2025-11-19T00:00:00.000000000,11350.100691899857,7825.021330272287
39,2025-11-20T00:00:00.000000000,11418.581273240805,7892.467177450011
40,2025-11-21T00:00:00.000000000,11667.534446633905,8138.288903423179
41,2025-11-24T00:00:00.000000000,11748.888166329061,8440.201746541346
42,2025-11-25T00:00:00.000000000,11758.894858401678,8405.506146573221
43,2025-11-26T00:00:00.000000000,11747.274532934673,8593.621339201207
44,2025-11-28T00:00:00.000000000,11753.570436821674,8499.203381401629
45,2025-12-01T00:00:00.000000000,11817.586360362948,8581.426383725313
46,2025-12-02T00:00:00.000000000,11876.719240694007,8481.385189087783
47,2025-12-03T00:00:00.000000000,12099.434710688152,8767.313976272553
48,2025-12-04T00:00:00.000000000,12152.175532639663,8923.492971407306
49,2025-12-05T00:00:00.000000000,12189.121977481827,8835.337037819238
50,2025-12-08T00:00:00.000000000,12279.72925371568,8703.982896793525
51,2025-12-09T00:00:00.000000000,12286.49320470179,8613.01901270372
52,2025-12-10T00:00:00.000000000,12281.661538828572,8647.131373512495
53,2025-12-11T00:00:00.000000000,12294.92412583105,8534.051869257104
54,2025-12-12T00:00:00.000000000,12290.964688615722,8584.348834791104
55,2025-12-15T00:00:00.000000000,12298.172747244638,8711.209093240423
56,2025-12-16T00:00:00.000000000,12324.589588749324,8609.205155790141
57,2025-12-17T00:00:00.000000000,12308.343558205299,8805.123227930504
58,2025-12-18T00:00:00.000000000,12310.360090585593,8729.529839940446
59,2025-12-19T00:00:00.000000000,12304.272579289476,8744.49099539195
