Symbol,FusionMode,Sharpe,CumReturn,MaxDD,Trades,WinRate,Status
AAPL,gbm_only,4.465,2.07,-0.39,0,0.0,OK
AAPL,regressor_only,1.607,3.95,-4.59,0,0.0,OK
AAPL,gbm_heavy,2.009,4.68,-4.02,0,0.0,OK
AAPL,balanced,1.807,4.37,-4.36,0,0.0,OK
AAPL,lstm_heavy,1.688,4.13,-4.48,0,0.0,OK
HOOD,gbm_only,-0.897,-3.92,-7.18,0,0.0,OK
HOOD,regressor_only,2.516,11.81,-6.04,0,0.0,OK
HOOD,gbm_heavy,-0.897,-3.92,-7.18,0,0.0,OK
HOOD,balanced,-0.897,-3.92,-7.18,0,0.0,OK
HOOD,lstm_heavy,-0.897,-3.92,-7.18,0,0.0,OK
MSFT,gbm_only,None,None,None,None,None,FAIL
MSFT,regressor_only,None,None,None,None,None,FAIL
MSFT,gbm_heavy,None,None,None,None,None,FAIL
MSFT,balanced,None,None,None,None,None,FAIL
MSFT,lstm_heavy,None,None,None,None,None,FAIL
AMZN,gbm_only,-0.008,-0.08,-2.82,0,0.0,OK
AMZN,regressor_only,None,None,None,None,None,FAIL
AMZN,gbm_heavy,None,None,None,None,None,FAIL
AMZN,balanced,None,None,None,None,None,FAIL
AMZN,lstm_heavy,None,None,None,None,None,FAIL
NVDA,gbm_only,0.647,0.67,-1.25,0,0.0,OK
NVDA,regressor_only,None,None,None,None,None,FAIL
NVDA,gbm_heavy,None,None,None,None,None,FAIL
NVDA,balanced,None,None,None,None,None,FAIL
NVDA,lstm_heavy,None,None,None,None,None,FAIL
TSLA,gbm_only,None,None,None,None,None,FAIL
TSLA,regressor_only,None,None,None,None,None,FAIL
TSLA,gbm_heavy,None,None,None,None,None,FAIL
TSLA,balanced,None,None,None,None,None,FAIL
TSLA,lstm_heavy,None,None,None,None,None,FAIL
XOM,gbm_only,2.268,3.24,-2.75,0,0.0,OK
XOM,regressor_only,None,None,None,None,None,FAIL
XOM,gbm_heavy,None,None,None,None,None,FAIL
XOM,balanced,None,None,None,None,None,FAIL
XOM,lstm_heavy,None,None,None,None,None,FAIL
JPM,gbm_only,2.654,0.13,-0.16,0,0.0,OK
JPM,regressor_only,None,None,None,None,None,FAIL
JPM,gbm_heavy,None,None,None,None,None,FAIL
JPM,balanced,None,None,None,None,None,FAIL
JPM,lstm_heavy,None,None,None,None,None,FAIL
